Team,Opponent,Team-Score,Opponent-Score,Win,Date,Time,Location,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg,Season,Playoff,Home
New York Knicks,Washington Wizards,117,110,1,2015-10-31,7:00 PM,"Verizon Center, Washington, District of Columbia",41,86,0.47700000000000004,9,19,0.474,26,32,0.813,9,31,40,21,8,5,18,30,0.585,0.529,0.221,0.37200000000000005,22.0,73.8,48.2,51.2,7.6,7.4,15.2,110.5,103.8,2015-16,0,0
Phoenix Suns,Portland Trail Blazers,101,90,1,2015-10-31,10:00 PM,"Moda Center, Portland, Oregon",39,94,0.415,11,32,0.344,12,16,0.75,11,37,48,16,11,6,13,20,0.5,0.473,0.34,0.17,23.9,78.7,51.6,41.0,11.3,12.2,11.4,103.6,92.3,2015-16,0,0
Memphis Grizzlies,Brooklyn Nets,101,91,1,2015-10-31,8:00 PM,"FedEx Forum, Memphis, Tennessee",34,80,0.425,9,23,0.391,24,28,0.857,11,31,42,26,6,2,9,19,0.547,0.48100000000000004,0.28800000000000003,0.35,23.9,79.5,49.4,76.5,6.8,3.0,8.9,113.7,102.5,2015-16,0,1
Los Angeles Clippers,Sacramento Kings,114,109,1,2015-10-31,10:30 PM,"STAPLES Center, Los Angeles, California",39,76,0.513,4,17,0.235,32,46,0.696,6,35,41,25,4,9,17,22,0.5920000000000001,0.539,0.22399999999999998,0.605,16.7,64.8,45.6,64.1,3.9,10.8,15.0,110.2,105.3,2015-16,0,1
Brooklyn Nets,Memphis Grizzlies,91,101,0,2015-10-31,8:00 PM,"FedEx Forum, Memphis, Tennessee",38,79,0.48100000000000004,3,13,0.231,12,18,0.667,8,35,43,21,3,3,12,22,0.523,0.5,0.165,0.228,20.5,76.1,50.6,55.3,3.4,5.3,12.1,102.5,113.7,2015-16,0,0
Sacramento Kings,Los Angeles Clippers,109,114,0,2015-10-31,10:30 PM,"STAPLES Center, Los Angeles, California",43,101,0.426,6,18,0.33299999999999996,17,25,0.68,19,30,49,20,9,2,13,34,0.48700000000000004,0.455,0.17800000000000002,0.248,35.2,83.3,54.4,46.5,8.7,3.4,10.4,105.3,110.2,2015-16,0,0
New Orleans Pelicans,Golden State Warriors,120,134,0,2015-10-31,7:30 PM,"Smoothie King Center, New Orleans, Louisiana",46,100,0.46,8,22,0.364,20,23,0.87,16,32,48,22,4,4,15,23,0.545,0.5,0.22,0.23,31.4,91.4,55.8,47.8,3.8,7.4,12.0,114.0,127.3,2015-16,0,1
Indiana Pacers,Utah Jazz,76,97,0,2015-10-31,7:00 PM,"Bankers Life Fieldhouse, Indianapolis, Indiana",28,70,0.4,4,17,0.235,16,21,0.762,7,27,34,10,8,7,24,19,0.48,0.429,0.243,0.3,17.9,64.3,42.0,35.7,8.5,9.6,23.2,80.9,103.3,2015-16,0,1
Washington Wizards,New York Knicks,110,117,0,2015-10-31,7:00 PM,"Verizon Center, Washington, District of Columbia",38,90,0.42200000000000004,6,22,0.273,28,33,0.848,11,32,43,17,9,3,17,32,0.526,0.456,0.244,0.36700000000000005,26.2,78.0,51.8,44.7,8.5,4.5,14.0,103.8,110.5,2015-16,0,1
Portland Trail Blazers,Phoenix Suns,90,101,0,2015-10-31,10:00 PM,"Moda Center, Portland, Oregon",33,79,0.418,8,30,0.267,16,28,0.5710000000000001,10,35,45,20,7,5,16,20,0.493,0.46799999999999997,0.38,0.354,21.3,76.1,48.4,60.6,7.2,8.1,14.9,92.3,103.6,2015-16,0,1
Dallas Mavericks,Los Angeles Lakers,103,93,1,2015-11-01,9:30 PM,"STAPLES Center, Los Angeles, California",40,87,0.46,11,30,0.36700000000000005,12,16,0.75,8,41,49,28,5,4,11,22,0.5479999999999999,0.523,0.345,0.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,106.4,96.1,2015-16,0,0
San Antonio Spurs,Boston Celtics,95,87,1,2015-11-01,3:30 PM,"TD Garden, Boston, Massachusetts",36,83,0.434,5,19,0.263,18,25,0.72,10,41,51,22,10,6,18,16,0.505,0.46399999999999997,0.22899999999999998,0.301,25.6,71.9,53.1,61.1,10.1,8.7,16.1,95.6,87.5,2015-16,0,0
